"dtype","param","subjid","fidtc","afidtc","aval"
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MANH_2023-12-31 00:00:00",0.7252195302689504
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MANH_2024-09-30 00:00:00",0.3166677304871766
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MA_2020-12-31 00:00:00",0.6900276402359509
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MA_2021-12-31 00:00:00",0.6692908573615717
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MA_2022-12-31 00:00:00",0.6322045369120343
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MA_2023-12-31 00:00:00",0.6253722657007696
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","MA_2024-09-30 00:00:00",0.2563915995595152
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LVS_2020-12-31 00:00:00",0.7241692259338907
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LVS_2021-12-31 00:00:00",0.7232069035904618
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LVS_2022-12-31 00:00:00",0.7455462597419412
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LVS_2023-12-31 00:00:00",0.7888142508230145
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LVS_2024-09-30 00:00:00",0.3719491780104309
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LTOUF_2021-03-31 00:00:00",0.822100739045288
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LTOUF_2022-03-31 00:00:00",0.8195671439454979
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LTOUF_2023-03-31 00:00:00",0.8276642052027573
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LTOUF_2024-03-31 00:00:00",0.8200398795789838
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LTOUF_2024-09-30 00:00:00",0.37857853089814447
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LSTR_2020-12-31 00:00:00",0.5900050237533574
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LSTR_2021-12-31 00:00:00",0.532924006211729
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LSTR_2022-12-31 00:00:00",0.510143475478166
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LSTR_2023-12-31 00:00:00",0.5738782198445757
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LSTR_2024-09-30 00:00:00",0.2698347946885977
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LRLCF_2020-12-31 00:00:00",0.8050439359412842
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LRLCF_2021-12-31 00:00:00",0.8007423165643123
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LRLCF_2022-12-31 00:00:00",0.8136037402287026
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LRLCF_2023-12-31 00:00:00",0.8198173381421902
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","LOW_2021-01-31 00:00:00",0.6390910292661107
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","WCN_2024-09-30 00:00:00",0.4371803347535218
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","WAT_2020-12-31 00:00:00",0.5537212299920438
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","WAT_2021-12-31 00:00:00",0.5750209137973817
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","WAT_2022-12-31 00:00:00",0.5678279579596314
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","WAT_2023-12-31 00:00:00",0.6478155673251246
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","WAT_2024-09-30 00:00:00",0.31939391131283934
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","VRSN_2020-12-31 00:00:00",0.007533172262294614
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","VRSN_2021-12-31 00:00:00",0.04340373531294284
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","VRSN_2022-12-31 00:00:00",0.00910168649623253
"DERIVED: NORMALIZED COSINE DISTANCE BETWEEN SUBJECTS","FISTRESN","DIOD","2020-12-31 00:00:00","VRSN_2023-12-31 00:00:00",0.016515907699838076
