maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,Ticker,fiveYearAvgDividendYield,yield,ytdReturn,totalAssets
1,2,166.42,164.62,163.54,166.45,166.42,164.62,163.54,166.45,,,2012-11-23 01:00:00,0.0,0.973,113.40411,35.683193,330909.0,330909.0,547400,428690,428690,151.54,179.49,200.0,200.0,8864717824.0,101.61,180.97,4.3399186,166.0966,136.36674,0.0,0.0,USD,,,,,,False,MASI,,,,
1,2,49.74,49.99,49.395,50.19,49.74,49.99,49.395,50.19,,,,0.0,0.742,32.044872,26.73262,5256777.0,5256777.0,5326013,3990380,3990380,49.94,50.05,600.0,400.0,48616275968.0,43.32,61.23,6.560214,53.225,51.94765,0.0,0.0,USD,,,,,,False,MNST,,,,
1,2,81.15,80.78,80.75,82.6,81.15,80.78,80.75,82.6,1.0,0.0123000005,2024-11-15 01:00:00,0.12,1.802,9.763506,16.201195,1786811.0,1786811.0,2394525,2054110,2054110,81.19,85.61,300.0,100.0,8931254272.0,71.63,110.38,1.2526964,90.3192,90.1837,1.0,0.012322859,USD,,,,,,False,WYNN,2.28,,,
1,2,140.92,139.7,138.82,142.86,140.92,139.7,138.82,142.86,1.15,0.008,2025-01-02 01:00:00,0.2207,1.244,27.420345,20.379457,371294.0,371294.0,313748,271500,271500,0.0,142.0,800.0,800.0,6701176832.0,108.91,153.81,8.602171,144.432,128.64854,1.15,0.008160658,USD,,,,,,False,CHH,1.1,,,
1,2,337.81,336.62,335.0,337.8,337.81,336.62,335.0,337.8,,,,0.0,1.111,52.11592,30.625793,508796.0,508796.0,482910,403910,403910,336.53,337.73,100.0,100.0,29487265792.0,289.82,363.03,11.949083,340.552,327.61414,0.0,0.0,USD,,,,,,False,ANSS,,,,
1,2,418.05,417.06,413.07,424.02,418.05,417.06,413.07,424.02,,,,0.0,1.357,40.832848,35.33612,640534.0,640534.0,663326,478120,478120,422.26,423.17,100.0,200.0,34606112768.0,398.5,583.39,9.000718,424.5834,474.6626,0.0,0.0,USD,,,,,,False,IDXX,,,,
1,2,118.23,115.84,115.22,117.05,118.23,115.84,115.22,117.05,4.14,0.0355,2024-08-30 02:00:00,0.5806,0.391,16.884226,16.249304,2269029.0,2269029.0,1005153,992870,992870,0.0,0.0,800.0,1100.0,66859847680.0,115.22,154.71,3.2986257,123.2648,131.62524,1.035,0.008754123,USD,,,,,,False,DEO,2.38,,,
1,2,39.73,39.73,39.73,39.73,39.73,39.73,39.73,39.73,0.76,0.0196,2024-06-28 02:00:00,0.5977,0.161,31.104837,,7.0,7.0,1266,1980,1980,37.6,38.66,27000.0,40000.0,4592838656.0,29.7,47.2,0.101080045,42.6242,38.5164,7.76,0.1953184,USD,,,,,,False,CLCGY,2.08,,,
1,2,335.5,335.5,335.5,335.5,335.5,335.5,335.5,335.5,7.07,0.0208,2024-04-26 02:00:00,0.5459,0.754,27.393057,,200.0,200.0,1956,2070,2070,336.3,340.5,28000.0,40000.0,181345484800.0,331.35,506.41,4.2440643,354.7488,422.7643,6.6,0.019672131,USD,,,,,,False,LRLCF,1.73,,,
1,2,13.08,13.05,13.03,13.09,13.08,13.05,13.03,13.09,0.45,0.0344,2024-05-01 02:00:00,1.3584,0.471,40.937504,15.7831335,58564.0,58564.0,483001,449910,449910,13.07,13.1,40000.0,40000.0,42715697152.0,7.08,14.72,1.5699105,13.689,13.35445,2.1,0.16055045,USD,,,,,,False,DANOY,2.66,,,
1,2,247.925,250.85,249.85,251.7,247.925,250.85,249.85,251.7,3.15,0.0223,2023-05-09 02:00:00,0.4481,0.971352,35.66145,,5919.0,5919.0,269850,288448,288448,248.75,252.1,0.0,0.0,156121661440.0,173.12,255.95,4.3692393,243.0855,230.44237,3.15,0.0127054555,EUR,,,,,,False,0NWV.IL,2.07,,,
1,2,16550.0,16600.0,16516.0,16800.0,16550.0,16600.0,16516.0,16800.0,,,2023-12-26 01:00:00,0.33290002,0.274,6.381923,335.94534,38231.0,38231.0,0,0,0,17002.0,16642.0,1500.0,100.0,255586927116288.0,16516.0,21300.0,19883.844,21300.0,21300.0,0.0,0.0,RUB,,,,,,False,GMKN.ME,8.78,,,
1,2,58.74,58.92,58.17,58.93,58.74,58.92,58.17,58.93,1.6,0.0272,2025-01-03 01:00:00,0.6824,,25.218884,15.066666,19328439.0,19328439.0,19291255,15075170,15075170,58.7,58.8,3000.0,1800.0,234026975232.0,44.5,60.23,4.4176035,58.3466,51.3096,1.19,0.020258768,USD,,,,,,False,CSCO,3.07,,,
1,2,47.21,47.18,46.5,47.275,47.21,47.18,46.5,47.275,0.8,0.0171,2024-11-05 01:00:00,0.396,1.117,23.20297,17.043636,4067259.0,4067259.0,4704200,2952740,2952740,0.0,47.11,800.0,1000.0,33981966336.0,36.62,56.61,3.0027363,51.5196,46.66285,0.8,0.016945563,USD,,,,,,False,LVS,4.75,,,
1,2,41.93,41.43,41.43,41.93,41.93,41.43,41.43,41.93,0.6,0.0143,2025-01-10 01:00:00,0.45669997,,32.73438,,5292.0,5292.0,173263,336060,336060,41.59,41.76,36200.0,45900.0,38907797504.0,39.58,53.1,5.329105,46.4156,46.46045,0.585,0.013951824,USD,,,,,,False,EXPGY,1.36,,,
1,2,4739.55,4696.56,4660.32,4780.575,4739.55,4696.56,4660.32,4780.575,35.0,0.0073,2024-12-06 01:00:00,0.1776,1.385,32.258263,22.701452,209835.0,209835.0,224186,181600,181600,4753.92,4773.88,100.0,100.0,157669359616.0,3180.0,5337.24,6.839726,5022.865,4131.8613,26.25,0.005538501,USD,,,,,,False,BKNG,,,,
1,2,207.08,206.5,205.72,209.66,207.08,206.5,205.72,209.66,,,2011-05-05 02:00:00,0.0,0.911,24.452744,24.226591,750503.0,750503.0,683345,808160,808160,209.27,209.73,300.0,500.0,20138715136.0,167.05,213.68,13.05674,191.6264,183.18146,0.0,0.0,USD,,,,,,False,VRSN,,,,
