"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod"
"MO","INCOME STATEMENT","MSFT","CostOfRevenue",62650000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","CostOfRevenue",65863000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","CostOfRevenue",74114000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","CostOfRevenue",77911000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DepreciationAmortizationDepletionIncomeStatement",16261000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAmortizationDepletionIncomeStatement",16216000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAmortizationDepletionIncomeStatement",15610000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAmortizationDepletionIncomeStatement",15282000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAmortizationDepletionIncomeStatement",15303000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DepreciationAndAmortizationInIncomeStatement",16261000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAndAmortizationInIncomeStatement",16216000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAndAmortizationInIncomeStatement",15610000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAndAmortizationInIncomeStatement",15282000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DepreciationAndAmortizationInIncomeStatement",15303000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",52133000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",45781000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46036000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46304500,"USD","2023-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46311000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46311000,"USD","2023-12-31 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46342000,"USD","2024-03-31 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46339500,"USD","2024-06-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedAverageShares",46372500,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","DilutedAverageShares",7608000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedAverageShares",7540000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedAverageShares",7472000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedAverageShares",7466250000,"USD","2023-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","DilutedAverageShares",7465000000,"USD","2023-12-31 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","DilutedAverageShares",7466750000,"USD","2024-03-31 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","DilutedAverageShares",7469000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedAverageShares",7471000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedEPS",1.88,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedEPS",5,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedEPS",7.2,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedEPS",6.35,"USD","2023-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedEPS",4.91,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedEPS",4.91,"USD","2023-12-31 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedEPS",3.67,"USD","2024-03-31 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedEPS",2.08,"USD","2024-06-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedEPS",1.32,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","DilutedEPS",8.05,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedEPS",9.65,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedEPS",9.68,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedEPS",10.32,"USD","2023-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","DilutedEPS",11.06,"USD","2023-12-31 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","DilutedEPS",11.54,"USD","2024-03-31 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","DilutedEPS",11.8,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedEPS",12.11,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","DilutedNIAvailtoComStockholders",98088000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedNIAvailtoComStockholders",228763000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedNIAvailtoComStockholders",331283000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedNIAvailtoComStockholders",227182000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","DilutedNIAvailtoComStockholders",61075000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","DilutedNIAvailtoComStockholders",61271000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedNIAvailtoComStockholders",72738000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedNIAvailtoComStockholders",72361000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedNIAvailtoComStockholders",88136000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","DilutedNIAvailtoComStockholders",90512000000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","DIOD","EBIT",132003000,"USD","2020-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","EBIT",322586000,"USD","2021-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","EBIT",404260000,"USD","2022-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","EBIT",283633000,"USD","2023-12-31 00:00:00","12M"
"MO","INCOME STATEMENT","DIOD","EBIT",80611000,"USD","2024-09-30 00:00:00","TTM"
"MO","INCOME STATEMENT","MSFT","EBIT",73448000000,"USD","2021-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","EBIT",85779000000,"USD","2022-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","EBIT",91279000000,"USD","2023-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","EBIT",110722000000,"USD","2024-06-30 00:00:00","12M"
"MO","INCOME STATEMENT","MSFT","EBIT",113764000000,"USD","2024-09-30 00:00:00","TTM"
